"filename", "language", "YAML", "JSON with Comments", "JavaScript", "Vue", "SCSS", "TypeScript", "Markdown", "SVG", "JSON", "XML", "Handlebars", "comment", "blank", "total"
"e:\VSCODE\WORK\bitcoinetf.org\.eslintrc.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"e:\VSCODE\WORK\bitcoinetf.org\.gitlab-ci.yml", "YAML", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 223
"e:\VSCODE\WORK\bitcoinetf.org\.helm\templates\1-secret.yaml", "YAML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"e:\VSCODE\WORK\bitcoinetf.org\.helm\templates\38-app.yaml", "YAML", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65
"e:\VSCODE\WORK\bitcoinetf.org\.helm\templates\40-hpa.yaml", "YAML", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
"e:\VSCODE\WORK\bitcoinetf.org\.helm\templates\80-ingress.yaml", "YAML", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"e:\VSCODE\WORK\bitcoinetf.org\.helm\values.yaml", "YAML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"e:\VSCODE\WORK\bitcoinetf.org\.prettierrc", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"e:\VSCODE\WORK\bitcoinetf.org\.stylelintrc.js", "JavaScript", 0, 0, 657, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 658
"e:\VSCODE\WORK\bitcoinetf.org\FUND.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\VSCODE\WORK\bitcoinetf.org\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 58, 174
"e:\VSCODE\WORK\bitcoinetf.org\app.vue", "Vue", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 33, 188
"e:\VSCODE\WORK\bitcoinetf.org\assets\countrylist.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 1, 138
"e:\VSCODE\WORK\bitcoinetf.org\assets\fonts\icons\dist\icons.scss", "SCSS", 0, 0, 0, 0, 2830, 0, 0, 0, 0, 0, 0, 4, 302, 3136
"e:\VSCODE\WORK\bitcoinetf.org\assets\fonts\icons\dist\icons.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 453, 0, 0, 0, 0, 1, 454
"e:\VSCODE\WORK\bitcoinetf.org\assets\fonts\icons\sass-template.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 10, 72
"e:\VSCODE\WORK\bitcoinetf.org\composables\useMediaDevice.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 8, 32
"e:\VSCODE\WORK\bitcoinetf.org\composables\useNotification.ts", "TypeScript", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 8, 49
"e:\VSCODE\WORK\bitcoinetf.org\error.vue", "Vue", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 38, 198
"e:\VSCODE\WORK\bitcoinetf.org\modules\fontagon.mjs", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 89
"e:\VSCODE\WORK\bitcoinetf.org\modules\iconica.mjs", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 64
"e:\VSCODE\WORK\bitcoinetf.org\nuxt.config.ts", "TypeScript", 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 24, 7, 270
"e:\VSCODE\WORK\bitcoinetf.org\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 1, 85
"e:\VSCODE\WORK\bitcoinetf.org\pnpm-lock.yaml", "YAML", 11788, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1699, 13487
"e:\VSCODE\WORK\bitcoinetf.org\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"e:\VSCODE\WORK\bitcoinetf.org\public\.well-known\nostr.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\baa.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\bft.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\boa.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\bot.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\brf.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\bst.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\fba.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\sba.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\usdt.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\vault.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\VSCODE\WORK\bitcoinetf.org\public\img\dealtype\1.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"e:\VSCODE\WORK\bitcoinetf.org\public\img\dealtype\2.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"e:\VSCODE\WORK\bitcoinetf.org\public\img\dealtype\3.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"e:\VSCODE\WORK\bitcoinetf.org\public\img\dealtype\4.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"e:\VSCODE\WORK\bitcoinetf.org\public\img\dealtype\5.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"e:\VSCODE\WORK\bitcoinetf.org\public\img\dealtype\6.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"e:\VSCODE\WORK\bitcoinetf.org\public\img\description\business-insider.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\VSCODE\WORK\bitcoinetf.org\public\img\description\coindesk.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"e:\VSCODE\WORK\bitcoinetf.org\public\img\description\forbes.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\VSCODE\WORK\bitcoinetf.org\public\img\description\techcrunch.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"e:\VSCODE\WORK\bitcoinetf.org\public\img\emails\chevron-right.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\VSCODE\WORK\bitcoinetf.org\public\img\favicons\browserconfig.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"e:\VSCODE\WORK\bitcoinetf.org\public\img\favicons\safari-pinned-tab.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"e:\VSCODE\WORK\bitcoinetf.org\public\img\favicons\site.webmanifest", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
